,T,Vc,X,X_dot,X_dot_sl,delta
0,0.0,[ 0.60196139],-1.00670480728,-97.2841969449,-9.72841969449,[-0.29994995]
1,0.0103480815887,[ 0.60155324],-1.00659012794,0.00831618803921,-87.5549456316,[-0.2995762]
2,0.0241379737854,[ 0.60037207],-1.00625824928,0.025100075733,0.00999457680859,[-0.29849459]
3,0.0373601913452,[ 0.59998047],-1.00614821911,0.00836293128443,0.0234263612881,[-0.298136]
4,0.0505170822144,[ 0.5989758],-1.00586593151,0.0260031186173,0.0101269500177,[-0.29721602]
5,0.0613729953766,[ 0.59825668],-1.00566387177,0.0185781928186,0.0252606260374,[-0.29655751]
6,0.072249174118,[ 0.59740519],-1.00542461872,0.0215311004785,0.0188734835846,[-0.29577781]
7,0.0833611488342,[ 0.59523096],-1.00481367111,0.0568169220195,0.0250596826326,[-0.29378686]
8,0.0941140651703,[ 0.59374027],-1.00439476967,0.0386298177341,0.0549982115909,[-0.29242184]
9,0.104958057404,[ 0.59203674],-1.00391602516,0.0429978586724,0.0390666218279,[-0.29086193]
10,0.116092205048,[ 0.58783802],-1.0027358532,0.110399892946,0.0497380620997,[-0.28701726]
11,0.126782178879,[ 0.58570352],-1.00213575363,0.0560217231632,0.104962075967,[-0.28506279]
12,0.137494087219,[ 0.58344692],-1.00150120258,0.058225771166,0.0562421279635,[-0.28299656]
13,0.14839220047,[ 0.57828204],-1.00004827976,0.131904761905,0.0655936702399,[-0.27826756]
14,0.159407138824,[ 0.57533222],-0.999218046665,0.0748709954848,0.126201385263,[-0.2755668]
15,0.170495986938,[ 0.57229012],-0.998361468315,0.0750130493788,0.0748852008742,[-0.27278168]
16,0.181915044785,[ 0.56563881],-0.996487081051,0.15172144277,0.0826838887179,[-0.26669269]
17,0.194269180298,[ 0.56176669],-0.995394766331,0.0821233957123,0.144761638064,[-0.26314826]
18,0.207570075989,[ 0.55396215],-0.993190169334,0.166926923494,0.0906037484905,[-0.2560051]
19,0.22077703476,[ 0.54897448],-0.99177891016,0.105585879667,0.160792819111,[-0.2514408]
20,0.234143018723,[ 0.53853486],-0.988818049431,0.217517909376,0.116779082638,[-0.24188944]
21,0.247755050659,[ 0.5266892],-0.985444962978,0.245101521084,0.220276270547,[-0.23105571]
22,0.261517047882,[ 0.52014405],-0.983574092388,0.140697841211,0.234661153096,[-0.22507183]
23,0.274814128876,[ 0.5056589],-0.979412674904,0.301117053394,0.156739762429,[-0.2118351]
24,0.288634061813,[ 0.49010331],-0.97490632534,0.330350432579,0.304040391313,[-0.19763142]
25,0.302275180817,[ 0.48149138],-0.972392261028,0.230991237678,0.320414513089,[-0.1897737]
26,0.313158988953,[ 0.47321966],-0.96996307373,0.227875067096,0.23067962062,[-0.18223074]
27,0.323819160461,[ 0.45557307],-0.964727759361,0.486917089829,0.253779269369,[-0.16615474]
28,0.334571123123,[ 0.44709257],-0.962183237076,0.23246063035,0.461471443881,[-0.1584376]
29,0.345517158508,[ 0.43796706],-0.959422171116,0.206511466172,0.229865713932,[-0.15014041]
30,0.358887195587,[ 0.41868483],-0.953500628471,0.448163084863,0.230676628041,[-0.13263464]
31,0.372100114822,[ 0.39966695],-0.947527170181,0.42731784691,0.446078561067,[-0.1154088]
32,0.386079072952,[ 0.38981383],-0.94437289238,0.237842696629,0.408370331882,[-0.10650196]
33,0.399341106415,[ 0.36923037],-0.937633156776,0.507549913818,0.264813418348,[-0.08794042]
34,0.412620067596,[ 0.34864263],-0.930656731129,0.504843774262,0.507279299862,[-0.06944561]
35,0.42643904686,[ 0.33811853],-0.926985085011,0.274392416791,0.481798638515,[-0.06002301]
36,0.439820051193,[ 0.31774599],-0.919641077518,0.534922895249,0.300445464637,[-0.04185367]
37,0.453549146652,[ 0.3076859],-0.915883898735,0.351138617171,0.516544467441,[-0.03292073]
38,0.464249134064,[ 0.29761786],-0.912025213242,0.356628178573,0.351687573311,[-0.0240103]
39,0.475069046021,[ 0.27834812],-0.904324769974,0.699969658879,0.390962326604,[-0.00705069]
40,0.486070156097,[ 0.26881124],-0.900337398052,0.360521890966,0.666024882088,[ 0.00128997]
41,0.497130155563,[ 0.25984],-0.89646345377,0.335290233384,0.357998725207,[ 0.00909903]
42,0.508684158325,[ 0.24209482],-0.88839161396,0.648192644215,0.366580474467,[ 0.02442266]
43,0.52113699913,[ 0.23364068],-0.884322345257,0.274688178965,0.61084219769,[ 0.03165602]
44,0.535951137543,[ 0.21767298],-0.876152276993,0.749890583627,0.322208419431,[ 0.0451727]
45,0.546846151352,[ 0.21042408],-0.872195184231,0.365819925061,0.71148351777,[ 0.05123448]
46,0.557663202286,[ 0.19648557],-0.864041566849,0.73996040418,0.403233972973,[ 0.0627269]
47,0.568682193756,[ 0.18986486],-0.859865486622,0.373669333333,0.703331297096,[ 0.06809478]
48,0.579858064651,[ 0.1838072],-0.855836212635,0.339650702414,0.370267470241,[ 0.07294367]
49,0.591721057892,[ 0.1725214],-0.847676038742,0.636566109324,0.369342243105,[ 0.08178141]
50,0.604540109634,[ 0.16712292],-0.843398451805,0.316367195077,0.604546217899,[ 0.08589662]
51,0.618061065674,[ 0.15819951],-0.83562207222,0.566130907955,0.341343566365,[ 0.09248711]
52,0.631797075272,[ 0.15023347],-0.827674865723,0.541735738664,0.563691391026,[ 0.09806899]
53,0.646466970444,[ 0.14659103],-0.823605775833,0.377705483999,0.525332713198,[ 0.1004907]
54,0.657240152359,[ 0.14052914],-0.815979003906,0.706252483773,0.410560183977,[ 0.10426456]
55,0.668039083481,[ 0.13786423],-0.812172710896,0.351685207622,0.670795756158,[ 0.10578758]
