,T,Vc,X,delta
0,0.0,-0.10584805727,0.999814987183,0
1,0.586655855179,-0.105798799992,0.998312115669,0
2,0.596758842468,-0.105716742277,0.996476829052,0
3,0.606905937195,-0.105639736652,0.994698166847,0
4,0.616991996765,-0.105391074419,0.991197049618,0
5,0.627136945724,-0.105328298807,0.989557802677,0
6,0.637251853943,-0.105246242285,0.987731039524,0
7,0.647313833237,-0.105179282427,0.986051023006,0
8,0.657418012619,-0.104938664436,0.982635140419,0
9,0.667515039444,-0.1048871243,0.981107652187,0
10,0.677635908127,-0.104812486172,0.979350566864,0
11,0.687742948532,-0.104853639603,0.978754997253,0
12,0.697813987732,-0.104710361958,0.976297020912,0
13,0.708065986633,-0.104482288361,0.973019599915,0
14,0.718032836914,-0.10444024086,0.971584916115,0
15,0.72817492485,-0.104394367933,0.970119774342,0
16,0.738239049911,-0.104334260225,0.968484818935,0
17,0.748577833176,-0.104386808872,0.968020796776,0
18,0.758472919464,-0.104100600481,0.964127600193,0
19,0.768784046173,-0.104053585529,0.962666153908,0
20,0.778697013855,-0.104129254818,0.962412953377,0
21,0.788795948029,-0.104082325697,0.960923969746,0
22,0.798992872238,-0.103900238276,0.958112299442,0
23,0.80890083313,-0.103881276846,0.956914365292,0
24,0.818984031677,-0.103843075037,0.955514848232,0
25,0.829159021378,-0.103802354336,0.954095840454,0
26,0.839277029037,-0.103785840273,0.95290941,0
27,0.849489927292,-0.103509223461,0.949141144753,0
28,0.85951089859,-0.103481807709,0.947853684425,0
29,0.86964392662,-0.103571470976,0.947732627392,0
30,0.879820823669,-0.103533203602,0.946327447891,0
31,0.890045881271,-0.103402302265,0.944023728371,0
32,0.89999294281,-0.103250908852,0.941501498222,0
33,0.910075902939,-0.103322341442,0.941208720207,0
34,0.920146942139,-0.103308027983,0.94005459547,0
35,0.930256843567,-0.103175411224,0.937718510628,0
36,0.940356016159,-0.103146504164,0.936410844326,0
37,0.950541973114,-0.103104555607,0.934989452362,0
38,0.960561037064,-0.102973517179,0.932659089565,0
39,0.970760822296,-0.102943834066,0.931355655193,0
40,0.980826854706,-0.102898269892,0.929878294468,0
41,0.991044044495,-0.102776097059,0.927637279034,0
42,1.00123691559,-0.102845922709,0.927334845066,0
43,1.01124382019,-0.10269702673,0.92483496666,0
44,1.02135300636,-0.102678847313,0.923639178276,0
45,1.03149294853,-0.102804397345,0.92387598753,0
46,1.04167985916,-0.102634278536,0.921177685261,0
47,1.05165100098,-0.102479598522,0.918621182442,0
48,1.0617480278,-0.102476080656,0.917558610439,0
49,1.07202196121,-0.102447737455,0.916265070438,0
50,1.08212304115,-0.102310849428,0.913885891438,0
51,1.09222602844,-0.102261816263,0.912380278111,0
52,1.10237884521,-0.102240043879,0.911148846149,0
53,1.11251592636,-0.102222729921,0.909956395626,0
54,1.12270903587,-0.102190800905,0.908624112606,0
55,1.13283896446,-0.102025125027,0.905971646309,0
56,1.14279603958,-0.102000404596,0.904702842236,0
57,1.15301203728,-0.101959341764,0.903290331364,0
58,1.16303086281,-0.102035542727,0.903042733669,0
59,1.17312693596,-0.101769032478,0.89929664135,0
60,1.18393683434,-0.101724175215,0.897895157337,0
61,1.1934659481,-0.101674655676,0.896382272243,0
62,1.20364284515,-0.10166942358,0.895317435265,0
63,1.21376800537,-0.101632971764,0.893943428993,0
64,1.22386288643,-0.101590578556,0.892433285713,0
65,1.23472499847,-0.101432076693,0.889913976192,0
66,1.24406790733,-0.101394429207,0.88852250576,0
67,1.25421786308,-0.101475787163,0.888334989548,0
68,1.2642288208,-0.101449611187,0.887052416801,0
69,1.27443695068,-0.101275978088,0.884290575981,0
70,1.28469204903,-0.101247001886,0.882992327213,0
71,1.2947769165,-0.101218951941,0.881710827351,0
72,1.30478692055,-0.101069087982,0.879192590714,0
73,1.31498289108,-0.101144162416,0.878938734531,0
74,1.32502889633,-0.10087770462,0.875273346901,0
75,1.33503699303,-0.100834099054,0.87382620573,0
76,1.34514784813,-0.100809978247,0.872568190098,0
77,1.35531592369,-0.100790890455,0.871368706226,0
78,1.36540198326,-0.100616009235,0.868594408035,0
79,1.37565684319,-0.10059363246,0.867354929447,0
80,1.38581395149,-0.100566499233,0.866069793701,0
81,1.39595198631,-0.100535985231,0.864751756191,0
82,1.40608096123,-0.100496100187,0.863338410854,0
83,1.41622591019,-0.100343809128,0.860786795616,0
84,1.42651295662,-0.100310832262,0.859468519688,0
85,1.43639802933,-0.100276511908,0.858108222485,0
86,1.44656896591,-0.10024954915,0.856809198856,0
87,1.45686292648,-0.100215212107,0.855470836163,0
88,1.46681284904,-0.100043332577,0.852747440338,0
89,1.47685885429,-0.100007520914,0.851373016834,0
90,1.48702192307,-0.0999737715721,0.850031018257,0
91,1.49706697464,-0.0999015367031,0.848296582699,0
92,1.50718784332,-0.100008682013,0.848334729671,0
93,1.51752090454,-0.0997195160389,0.84446066618,0
94,1.52734494209,-0.0996514093876,0.842769801617,0
95,1.53744292259,-0.0996430253983,0.841675758362,0
96,1.54754495621,-0.0995969724655,0.840203642845,0
97,1.5576608181,-0.0994115006924,0.83733612299,0
98,1.56778883934,-0.099369058609,0.835901498795,0
99,1.57789087296,-0.09932985425,0.834483444691,0
100,1.58815097809,-0.099281796217,0.832992374897,0
101,1.59825587273,-0.0992441189289,0.831603705883,0
102,1.60837483406,-0.0990543055534,0.82869887352,0
103,1.61844182014,-0.0989758312702,0.826907217503,0
104,1.628510952,-0.0989689815044,0.825821220875,0
105,1.6386859417,-0.0989289104939,0.82441920042,0
