,T,Vc,X,delta
0,0.0,-0.115812911093,0.998159885406,-0.0460326775916
1,0.636857032776,-0.114833988592,0.996162652969,-0.046032677248
2,0.647040128708,-0.112657085909,0.9929728508,-0.0460326752524
3,0.657169103622,-0.111900705284,0.991194367409,-0.0460326729353
4,0.667390108109,-0.111165437754,0.989431202412,-0.0460326694882
5,0.677669048309,-0.11059607468,0.987825930119,-0.0460326651538
6,0.688028097153,-0.109932466559,0.986098110676,-0.0460326590014
7,0.698670148849,-0.107536221676,0.982804059982,-0.0460326421932
8,0.707648038864,-0.106870938117,0.981122672558,-0.0460326306273
9,0.717808961868,-0.106176438943,0.979410350323,-0.0460326164808
10,0.72798705101,-0.105741184086,0.977959871292,-0.0460326024585
11,0.738139152527,-0.103462049623,0.974644601345,-0.046032562594
12,0.748500108719,-0.102984196933,0.973168730736,-0.0460325410047
13,0.758480072021,-0.102359841906,0.971503555775,-0.0460325135362
14,0.768887996674,-0.101808087361,0.969913959503,-0.046032484042
15,0.779266119003,-0.101398799434,0.968499660492,-0.0460324549528
16,0.78931593895,-0.0992993248497,0.965348303318,-0.0460323797669
17,0.799834012985,-0.0988855643341,0.963932096958,-0.0460323409965
18,0.809858083725,-0.0984361530689,0.962468743324,-0.0460322974773
19,0.81999707222,-0.0978979971638,0.960916042328,-0.046032247282
20,0.830142021179,-0.0961323004369,0.95808494091,-0.0460321444865
21,0.840795040131,-0.0956289975125,0.956642091274,-0.0460320861857
22,0.85018992424,-0.0952350963387,0.955217421055,-0.0460320244994
23,0.860496997833,-0.0948859112133,0.95386826992,-0.0460319621693
24,0.870496034622,-0.0945450870374,0.952510476112,-0.0460318954607
25,0.880665063858,-0.0928988345041,0.949776768684,-0.0460317484961
26,0.891538143158,-0.0924375822123,0.948482453823,-0.0460316727583
27,0.899868011475,-0.0921883107914,0.947207212448,-0.0460315941082
28,0.910126924515,-0.0915124570834,0.945516347885,-0.0460314834607
29,0.92027592659,-0.0915533057662,0.94454151392,-0.0460314162759
30,0.930432081223,-0.0900804434305,0.942055165768,-0.0460312332625
31,0.940565109253,-0.089798079968,0.940750598907,-0.0460311303134
32,0.950786113739,-0.0895341574975,0.939512491226,-0.0460310280494
33,0.960526943207,-0.0893646008247,0.938329219818,-0.0460309260612
34,0.970663070679,-0.0890681387947,0.937009632587,-0.0460308072998
35,0.980893135071,-0.0876645032553,0.934583067894,-0.0460305746409
36,0.991120100021,-0.0875105558565,0.933416008949,-0.0460304559538
37,1.00125002861,-0.0872778246194,0.93216574192,-0.0460303237647
38,1.01142406464,-0.0870312967107,0.930893778801,-0.0460301838115
39,1.02167701721,-0.0858594669746,0.92865729332,-0.0460299239708
40,1.03232097626,-0.085669558177,0.927459537983,-0.0460297773981
41,1.04239797592,-0.0854466990247,0.926217615604,-0.0460296198115
42,1.05258703232,-0.0853722283865,0.925132513046,-0.0460294773554
43,1.06269192696,-0.0852790009527,0.924031317234,-0.0460293281527
44,1.07277011871,-0.0838783154014,0.921606183052,-0.0460289826867
45,1.08301115036,-0.0836992834481,0.920513391495,-0.0460288192359
46,1.09214711189,-0.0837605950048,0.91949236393,-0.0460286620447
47,1.1029689312,-0.0836749638935,0.9183832407,-0.0460284863095
48,1.11320209503,-0.0834712183358,0.917173504829,-0.0460282886146
49,1.12326002121,-0.0823379986527,0.915034413338,-0.0460279233215
50,1.13331508636,-0.0823042202881,0.913998067379,-0.0460277389595
51,1.14333891869,-0.0820948869201,0.912771105766,-0.0460275143174
52,1.15351295471,-0.0819957118726,0.911658704281,-0.0460273045802
53,1.16364312172,-0.0810281750791,0.90964359045,-0.0460269096263
54,1.17411494255,-0.0809160399741,0.908564329147,-0.0460266899759
55,1.18378400803,-0.0806860251606,0.907313644886,-0.0460264282047
56,1.19398808479,-0.0806063997675,0.906231284142,-0.0460261952947
57,1.20401310921,-0.0806956047097,0.90530860424,-0.0460259920082
58,1.21412992477,-0.0795890371663,0.903148233891,-0.0460254986423
59,1.22466301918,-0.0793763261847,0.901967048645,-0.0460252183862
60,1.23434495926,-0.0794488673253,0.901025652885,-0.0460249896007
61,1.24448204041,-0.07951620164,0.900093257427,-0.046024758195
62,1.25447702408,-0.0795484606698,0.89910197258,-0.0460245068595
63,1.26470994949,-0.0783418341251,0.896885752678,-0.0460239247708
64,1.27480006218,-0.0784308464706,0.895968914032,-0.0460236756623
65,1.28485608101,-0.0785882986994,0.895105838776,-0.0460234366445
66,1.29505896568,-0.0785993772343,0.894120931625,-0.0460231584713
67,1.3050160408,-0.0785526946048,0.893048048019,-0.0460228487988
68,1.31527495384,-0.0776263659342,0.891129851341,-0.0460222775594
69,1.32518792152,-0.0777186552298,0.890205144882,-0.0460219939935
70,1.33535504341,-0.0777745765899,0.889250874519,-0.0460216956879
71,1.34545397758,-0.0777208414162,0.888190984726,-0.0460213575279
72,1.35551214218,-0.0768701134199,0.886242032051,-0.0460207166201
73,1.36648797989,-0.0768381284734,0.885364055634,-0.046020419691
74,1.37494492531,-0.0769436136804,0.884369492531,-0.0460200770773
75,1.38594198227,-0.0768458411261,0.883276224136,-0.0460196927027
76,1.39589309692,-0.0768760225526,0.882285952568,-0.0460193374404
77,1.40609407425,-0.0760588287777,0.880448579788,-0.0460186601215
78,1.41628909111,-0.0771558266577,0.880548715591,-0.0460186976496
79,1.42625808716,-0.0760075750802,0.878375530243,-0.0460178670432
80,1.4364991188,-0.0759997869878,0.877355754375,-0.0460174654574
81,1.4466149807,-0.0761048106143,0.876433491707,-0.0460170956662
