,T,Vc,X,X_dot,X_dot_sl,delta
0,0.0,[ 2.03533675],-1.01487410069,-98.1595872247,-9.81595872247,[-1.02046265]
1,0.0103390216827,[ 2.03477216],-1.01476144791,0.00768917819365,-88.3428595844,[-1.02001071]
2,0.0249898433685,[ 2.03371868],-1.01455140114,0.0145168731875,0.00837194769303,[-1.01916727]
3,0.039458990097,[ 2.0334363],-1.01449513435,0.00394273017358,0.0134594588861,[-1.01894116]
4,0.0537300109863,[ 2.03211917],-1.01423287392,0.0238115854187,0.00592961569809,[-1.01788629]
5,0.0647439956665,[ 2.03131374],-1.01407265663,0.014482446499,0.0228786715267,[-1.01724109]
6,0.0758068561554,[ 2.02847811],-1.01350951195,0.0504927424699,0.0180834760961,[-1.0149686]
7,0.0869598388672,[ 2.02660735],-1.01313877106,0.0324526254278,0.0486887307657,[-1.01346858]
8,0.0983839035034,[ 2.02119543],-1.01206970215,0.0879388115317,0.0380012440382,[-1.00912572]
9,0.110540866852,[ 2.01792856],-1.01142680645,0.0589270104895,0.0850376314275,[-1.00650175]
10,0.121450901031,[ 2.01443896],-1.01074206829,0.0622939441263,0.0592637038532,[-1.00369689]
11,0.132442951202,[ 2.00502132],-1.00890409946,0.162984418275,0.0723629915412,[-0.99611722]
12,0.143719911575,[ 2.00019212],-1.00796711445,0.0819979969955,0.154885776147,[-0.99222501]
13,0.155146837234,[ 1.99542207],-1.0070451498,0.076759696693,0.0814741669652,[-0.98837692]
14,0.167157888412,[ 1.98377259],-1.00480782986,0.166109075461,0.0856946345698,[-0.97896476]
15,0.180626869202,[ 1.96961327],-1.00211453438,0.182445854935,0.167742753408,[-0.96749873]
16,0.195389032364,[ 1.96184291],-1.0006480217,0.133404181487,0.17754168759,[-0.96119489]
17,0.206382036209,[ 1.94367155],-0.997248411179,0.3015480269,0.150218566028,[-0.94642314]
18,0.217655897141,[ 1.9329708],-0.995264947414,0.182052432326,0.289598467443,[-0.93770586]
19,0.22855091095,[ 1.92108904],-0.993077635765,0.198088051129,0.183655994206,[-0.9280114]
20,0.239593029022,[ 1.9082876],-0.99073779583,0.207747671465,0.199054013163,[-0.9175498]
21,0.250855922699,[ 1.87967838],-0.985566437244,0.449017720366,0.231874676355,[-0.89411194]
22,0.262372970581,[ 1.86380019],-0.982727766037,0.236874303677,0.427803378697,[-0.88107242]
23,0.274356842041,[ 1.82794549],-0.976390123367,0.489882422321,0.262175115541,[-0.85155537]
24,0.28729391098,[ 1.78754965],-0.969352602959,0.459638113331,0.486857991422,[-0.81819705]
25,0.302604913712,[ 1.76585604],-0.965610861778,0.256971165654,0.439371418563,[-0.80024517]
26,0.317165851593,[ 1.71837872],-0.957495510578,0.558443529335,0.287118402022,[-0.76088321]
27,0.331697940826,[ 1.66650806],-0.948716402054,0.623915585076,0.564990734909,[-0.71779166]
28,0.345768928528,[ 1.63790321],-0.943901658058,0.440908693943,0.605614895963,[-0.69400155]
29,0.356688976288,[ 1.57878384],-0.933982789516,0.892150240178,0.486032848567,[-0.64480105]
30,0.367806911469,[ 1.54733631],-0.92871183157,0.472181286175,0.850153344778,[-0.61862447]
31,0.378969907761,[ 1.51403342],-0.923124432564,0.492275133387,0.474190670896,[-0.59090899]
32,0.390320062637,[ 1.44468176],-0.911438107491,0.954547224927,0.538502342541,[-0.53324365]
33,0.402562856674,[ 1.40858878],-0.905310928822,0.559202080205,0.915012710455,[-0.50327785]
34,0.413519859314,[ 1.37114003],-0.89890730381,0.575602203077,0.560842092493,[-0.47223273]
35,0.424644947052,[ 1.29295851],-0.885337650776,1.20394402843,0.638436385613,[-0.40762086]
36,0.43591594696,[ 1.25268322],-0.878213465214,0.610003062162,1.1445499318,[-0.37446976]
37,0.447594881058,[ 1.2121195],-0.870925605297,0.586168213546,0.6076195773,[-0.3411939]
38,0.460027933121,[ 1.12996764],-0.855747699738,1.39054957297,0.666606349488,[-0.27421994]
39,0.470942974091,[ 1.08850004],-0.8478333354,0.71416815473,1.32291143114,[-0.24066671]
40,0.482024908066,[ 1.00618332],-0.831504881382,1.42035132108,0.784786471365,[-0.17467844]
41,0.493520975113,[ 0.96514089],-0.823004186153,0.778380561498,1.35615424512,[-0.14213671]
42,0.504441976547,[ 0.92448564],-0.814309060574,0.780390730319,0.778581578381,[-0.11017658]
43,0.515583992004,[ 0.8848783],-0.80554407835,0.767382637193,0.779089921006,[-0.07933422]
44,0.527005910873,[ 0.8070994],-0.787355661392,1.6683670122,0.857481074694,[-0.01974374]
45,0.537907838821,[ 0.76964386],-0.778066694736,0.838641108982,1.58539442188,[ 0.00842284]
46,0.548984050751,[ 0.69710216],-0.758923113346,1.70834663092,0.925611661177,[ 0.06182095]
47,0.560189962387,[ 0.66252599],-0.749195575714,0.858266018764,1.62333856971,[ 0.08666958]
48,0.5715239048,[ 0.62879231],-0.739287436008,0.828784675827,0.85531788447,[ 0.11049512]
49,0.583478927612,[ 0.56473217],-0.719231188297,1.57228566622,0.903134774867,[ 0.15449902]
50,0.59623503685,[ 0.50426802],-0.698680400848,1.3717872205,1.55223582165,[ 0.19441238]
51,0.611216068268,[ 0.4757119],-0.688398599625,0.930400638605,1.32764856231,[ 0.2126867]
52,0.622267007828,[ 0.44763961],-0.677926003933,0.942460360032,0.931606610748,[ 0.23028639]
53,0.633378982544,[ 0.394965],-0.657313108444,1.83747237099,1.03196156113,[ 0.26234811]
54,0.644597053528,[ 0.36923944],-0.646805882454,0.905421785758,1.74426731247,[ 0.27756645]
55,0.656201839447,[ 0.32005985],-0.625967681408,1.67077821532,0.981957428715,[ 0.30590783]
56,0.668673992157,[ 0.29618584],-0.615517139435,0.752377315093,1.5789381253,[ 0.3193313]
57,0.682564020157,[ 0.25019747],-0.594806671143,1.42644136821,0.819783720405,[ 0.3446092]
58,0.697082996368,[ 0.20629014],-0.574331820011,1.40993531334,1.42479076272,[ 0.36804168]
59,0.711604833603,[ 0.18515418],-0.564220130444,0.915580069945,1.360499789,[ 0.37906595]
60,0.722648859024,[ 0.14444383],-0.544216275215,1.79243841996,1.00326590495,[ 0.39977245]
61,0.733808994293,[ 0.12507557],-0.534419000149,0.875767230723,1.70077130104,[ 0.40934343]
62,0.744996070862,[ 0.10605789],-0.524591326714,0.846707269478,0.872861234599,[ 0.41853343]
63,0.756603002548,[ 0.07050802],-0.50555306673,1.53090970092,0.915127512622,[ 0.43504505]
64,0.769038915634,[ 0.05359215],-0.496120333672,0.85799249653,1.46361798048,[ 0.44252818]
65,0.780032873154,[ 0.03751522],-0.486879885197,0.840958404756,0.856289087353,[ 0.44936467]
66,0.791020870209,[ 0.00758036],-0.468782663345,1.60635832646,0.917498396926,[ 0.4612023]
67,0.802286863327,[-0.0060445],-0.460064262152,0.755685575532,1.52129105136,[ 0.46610877]
68,0.81382393837,[-0.03106048],-0.443007439375,1.39797752809,0.819914770788,[ 0.47406792]
69,0.826025009155,[-0.042438],-0.434677153826,0.628277170395,1.32100749232,[ 0.47711516]
70,0.839283943176,[-0.06275718],-0.418577581644,1.11662036578,0.677111489933,[ 0.48133476]
71,0.853702068329,[-0.07166752],-0.410872668028,0.698680114152,1.07482634061,[ 0.48254019]
72,0.864729881287,[-0.07990508],-0.403287351131,0.683608186506,0.697172921388,[ 0.48319243]
73,0.875825881958,[-0.09426458],-0.388641089201,1.30606729032,0.745854096887,[ 0.48290567]
74,0.887039899826,[-0.10033102],-0.381711483002,0.599857077993,1.23544626908,[ 0.4820425]
75,0.898591995239,[-0.11078573],-0.368198305368,1.09453633432,0.649325003626,[ 0.47898404]
76,0.910938024521,[-0.11508717],-0.361809968948,0.585342209892,1.04361692188,[ 0.47689714]
77,0.921851873398,[-0.11890987],-0.35553202033,0.570566088841,0.583864597787,[ 0.47444189]
78,0.932854890823,[-0.12500728],-0.343728542328,1.05889068315,0.619398548272,[ 0.46873582]
79,0.944001913071,[-0.12749518],-0.3378944695,0.517071147832,1.00470872962,[ 0.46538964]
80,0.955284833908,[-0.12948522],-0.33250451088,0.460561565416,0.51142018959,[ 0.46198973]
81,0.966987848282,[-0.13248319],-0.322142839432,0.814528825249,0.495958291399,[ 0.45462603]
82,0.979708909988,[-0.13427121],-0.312736541033,0.622432357813,0.795319178506,[ 0.44700775]
83,0.994821071625,[-0.13481793],-0.308222800493,0.305192397595,0.590708361792,[ 0.44304073]
84,1.00961089134,[-0.13530491],-0.299908667803,0.568995056048,0.33157266344,[ 0.43521358]
85,1.0242228508,[-0.13517599],-0.292406708002,0.551813335204,0.567276883963,[ 0.42758269]
86,1.03781795502,[-0.13494638],-0.289041608572,0.308467741935,0.527478775877,[ 0.42398798]
87,1.04872703552,[-0.13422139],-0.282637387514,0.584550182799,0.336075986022,[ 0.41685878]
88,1.05968284607,[-0.13376972],-0.279730290174,0.263797542296,0.552474918749,[ 0.41350001]
89,1.07070302963,[-0.13337988],-0.277541071177,0.194337446295,0.256851532696,[ 0.41092095]
90,1.08196806908,[-0.1327588],-0.27445551753,0.262159178382,0.201119619504,[ 0.40721432]
91,1.09373784065,[-0.13173862],-0.270088016987,0.400424608726,0.275985721416,[ 0.40182664]
92,1.10464501381,[-0.1312114],-0.268066734076,0.182445446329,0.378626692486,[ 0.39927814]
93,1.11572384834,[-0.13024643],-0.264663755894,0.302268636171,0.194427765313,[ 0.39491019]
94,1.12698197365,[-0.12976994],-0.263096958399,0.135923409448,0.285634113499,[ 0.3928669]
95,1.13850903511,[-0.12937022],-0.261830806732,0.10605341987,0.13293641049,[ 0.39120103]
96,1.15044784546,[-0.12867644],-0.259724229574,0.157287494437,0.111176827327,[ 0.38840067]
97,1.16384100914,[-0.12813244],-0.258143305779,0.104475877608,0.152006332754,[ 0.38627575]
98,1.17897295952,[-0.12795375],-0.257636219263,0.0335130940376,0.0973795992506,[ 0.38558997]
99,1.19410395622,[-0.12766447],-0.25682720542,0.073566395664,0.0375184242002,[ 0.38449167]
100,1.20510101318,[-0.1275767],-0.256584554911,0.0219314312804,0.0684028992256,[ 0.38416125]
101,1.21616506577,[-0.12758562],-0.256609171629,-0.00218838091605,0.0195194500608,[ 0.38419479]
102,1.22741389275,[-0.12766883],-0.256839305162,-0.0200429826201,-0.00397384108645,[ 0.38450813]
103,1.2388958931,[-0.12791117],-0.257516235113,-0.0562796091102,-0.0236666452691,[ 0.38542741]
104,1.25092387199,[-0.12807557],-0.257981300354,-0.0349173886582,-0.054143387065,[ 0.38605687]
105,1.2642428875,[-0.12849941],-0.259203374386,-0.0842399789636,-0.0398496476887,[ 0.38770279]
106,1.27874994278,[-0.12913206],-0.261095315218,-0.126373560747,-0.088453337142,[ 0.39022737]
107,1.29372096062,[-0.12946438],-0.262125372887,-0.0710821816387,-0.120844422836,[ 0.39158975]
108,1.30821204185,[-0.1301052],-0.264192372561,-0.143174161478,-0.0782913796227,[ 0.39429757]
109,1.32264900208,[-0.13070864],-0.266251444817,-0.138630052329,-0.142719750563,[ 0.39696009]
110,1.33750200272,[-0.13115448],-0.267856091261,-0.145480729741,-0.13931512007,[ 0.39901057]
111,1.34853196144,[-0.1317975],-0.270322352648,-0.219515947626,-0.152884251529,[ 0.40211986]
112,1.35976696014,[-0.13212003],-0.271640598774,-0.120974182256,-0.209661771089,[ 0.40376063]
113,1.3706638813,[-0.13247914],-0.273185789585,-0.139268523294,-0.12280361636,[ 0.40566493]
114,1.3817589283,[-0.13312247],-0.276211470366,-0.264041466409,-0.151745817605,[ 0.40933394]
115,1.39321804047,[-0.13342508],-0.277783155441,-0.137398912001,-0.251377210968,[ 0.41120823]
116,1.40465688705,[-0.1337233],-0.279456555843,-0.139751707385,-0.13763419154,[ 0.41317986]
117,1.41663098335,[-0.13427512],-0.283019602299,-0.264321972444,-0.152208733891,[ 0.41729473]
118,1.4301109314,[-0.13446791],-0.284476995468,-0.0985784321631,-0.247747618416,[ 0.4189449]
119,1.44489502907,[-0.13498996],-0.289577275515,-0.33904627942,-0.122625216889,[ 0.42456724]
120,1.45993804932,[-0.13511846],-0.291401863098,-0.126104025574,-0.317752054035,[ 0.42652032]
121,1.47440695763,[-0.13527844],-0.294919371605,-0.243023983659,-0.137796021382,[ 0.43019781]
122,1.48888087273,[-0.13532181],-0.29841914773,-0.233146312797,-0.242036216573,[ 0.43374095]
123,1.50389194489,[-0.1352996],-0.300177365541,-0.116981281726,-0.22152980969,[ 0.43547697]
124,1.51892185211,[-0.1351635],-0.303742438555,-0.323714063041,-0.137654559857,[ 0.43890594]
