,T,Vc,X
0,0.010018825531,-0.100400745869,0.999799609184
1,0.0201380252838,-0.100612437725,0.999211072922
2,0.0302460193634,-0.100821632147,0.998618662357
3,0.0403490066528,-0.101038444042,0.998041987419
4,0.0504629611969,-0.100979983807,0.996913671494
5,0.0605700016022,-0.101222985983,0.996388971806
6,0.0706698894501,-0.101449209452,0.995831429958
7,0.080775976181,-0.101657682657,0.995237767696
8,0.0908579826355,-0.101892489195,0.994699180126
9,0.101004838943,-0.101739561558,0.993378639221
10,0.111119031906,-0.102117568254,0.993123233318
11,0.121239900589,-0.102331548929,0.9925391078
12,0.131346940994,-0.10254072547,0.99194675684
13,0.141419887543,-0.102480185032,0.99081838131
14,0.151526927948,-0.102627193928,0.990101695061
15,0.161618947983,-0.102796220779,0.989430546761
16,0.171713829041,-0.102960413694,0.988749444485
17,0.18181681633,-0.102890020609,0.987598359585
18,0.191912889481,-0.102794009447,0.986396729946
19,0.202011823654,-0.102843308449,0.985485434532
20,0.212126970291,-0.102866923809,0.984521150589
21,0.222218990326,-0.102878624201,0.983535349369
22,0.232313871384,-0.102921491861,0.982611596584
23,0.242403030396,-0.102348655462,0.980457007885
24,0.252502918243,-0.102285945415,0.979321599007
25,0.262599945068,-0.102196717262,0.978133440018
26,0.272711992264,-0.102703750134,0.978136301041
27,0.282791852951,-0.101969873905,0.975660562515
28,0.292944908142,-0.101111090183,0.972927689552
29,0.303085803986,-0.101072305441,0.971836030483
30,0.313205957413,-0.100865918398,0.970411241055
31,0.323319911957,-0.100572496653,0.96881300211
32,0.333387851715,-0.0997438490391,0.966148912907
33,0.343478918076,-0.0994601905346,0.964572489262
34,0.353546857834,-0.0991849422455,0.963015198708
35,0.363643884659,-0.0989757597446,0.961587131023
36,0.373739957809,-0.0987275481224,0.960081100464
37,0.383831977844,-0.0976937532425,0.957004308701
38,0.393929004669,-0.0974388539791,0.955484807491
39,0.404032945633,-0.0971612334251,0.953919172287
40,0.414134025574,-0.0969093382359,0.952405273914
41,0.42422580719,-0.0966781079769,0.950933635235
42,0.434335947037,-0.0956766009331,0.947919607162
43,0.444442987442,-0.0954302191734,0.946416139603
44,0.454530954361,-0.0951700687408,0.944887042046
45,0.464632987976,-0.0949374437332,0.943411588669
46,0.474700927734,-0.0946947395802,0.941919386387
47,0.48477602005,-0.0936999440193,0.938922286034
48,0.494877815247,-0.0934728205204,0.937457859516
49,0.504967927933,-0.0932405531406,0.935984313488
50,0.515064001083,-0.0930090010166,0.934511601925
51,0.525162935257,-0.092104357481,0.931692421436
52,0.535265922546,-0.0918761610985,0.930225729942
53,0.545367956161,-0.0917356550694,0.928934514523
54,0.555478811264,-0.0915702283382,0.92759257555
55,0.565534830093,-0.0913493692875,0.926145255566
56,0.575690984726,-0.0905956745148,0.923622250557
57,0.58583688736,-0.0904845714569,0.922385454178
58,0.595978021622,-0.0903221786022,0.921046555042
59,0.60609292984,-0.0902381658554,0.919867038727
60,0.616202831268,-0.0896022617817,0.917584240437
61,0.626303911209,-0.0895091831684,0.916387975216
62,0.636406898499,-0.0894223988056,0.915204107761
63,0.646499872208,-0.089226603508,0.913803219795
64,0.656605005264,-0.0893651127815,0.913069725037
65,0.666798830032,-0.088775485754,0.910871088505
66,0.676955938339,-0.0887687444687,0.909841895103
67,0.687047958374,-0.0887745738029,0.908844351768
68,0.69717502594,-0.0887474060059,0.907777309418
69,0.707289934158,-0.0887428462505,0.906756699085
70,0.717365980148,-0.0883071005344,0.904877603054
71,0.727480888367,-0.0882968783379,0.903845667839
72,0.737583875656,-0.0882786095142,0.902798831463
73,0.747699022293,-0.0881196856499,0.90146946907
74,0.757798910141,-0.0878984570503,0.900017023087
75,0.76791882515,-0.0879181981087,0.899044513702
76,0.778016805649,-0.0879344582558,0.898067235947
77,0.788131952286,-0.0879648387432,0.897116482258
78,0.798241853714,-0.0880083680153,0.896192550659
79,0.808339834213,-0.0875360190868,0.894238054752
80,0.818454027176,-0.0875767827034,0.893308162689
81,0.828559875488,-0.0876392424107,0.892422497272
82,0.838656902313,-0.0876446962357,0.89142370224
83,0.848766803741,-0.0875872254372,0.8902977705
84,0.858860969543,-0.0871725022793,0.888458907604
85,0.869043827057,-0.0872110366821,0.887517690659
86,0.879205942154,-0.0872392654419,0.886557936668
87,0.889331817627,-0.0872149884701,0.885496795177
88,0.899466991425,-0.0872244954109,0.884502291679
89,0.909584999084,-0.086767989397,0.882577478886
90,0.919696807861,-0.0867691457272,0.881568610668
91,0.929800033569,-0.0867809295654,0.880581855774
92,0.939900875092,-0.0868202209473,0.879650354385
93,0.950003862381,-0.0861416220665,0.877282857895
94,0.960098028183,-0.0863441050053,0.876678407192
95,0.970202922821,-0.086380469799,0.875740647316
96,0.980317831039,-0.0864321768284,0.874832570553
97,0.99041891098,-0.0864594399929,0.873876988888
98,1.00052499771,-0.0858045697212,0.871556639671
99,1.01061987877,-0.0860590934753,0.871056199074
100,1.02071881294,-0.0861090779305,0.870146274567
101,1.03083300591,-0.0861895382404,0.86929577589
102,1.0410118103,-0.0862476289272,0.868394076824
103,1.05116987228,-0.0856652438641,0.8662135005
104,1.06125497818,-0.0857573628426,0.865389227867
105,1.07134890556,-0.085979950428,0.8648250103
106,1.08141088486,-0.0860796451569,0.864018201828
107,1.09151101112,-0.0855277121067,0.861904323101
108,1.10161185265,-0.0856034815311,0.861045777798
109,1.11172580719,-0.0856847047806,0.860196828842
110,1.12182688713,-0.085760396719,0.859338104725
111,1.13194489479,-0.0860354483128,0.858876407146
