,T,Vc,X,X_dot,X_dot_sl,delta
0,0.0,[ 0.63053374],0.550083458424,0.625750571796,0.0625750571796,[-0.25056712]
1,0.0103459358215,[ 0.63017691],0.550286948681,0.00395853803857,0.56357136842,[-0.25029169]
2,0.0272400379181,[ 0.6300394],0.550365388393,0.00222522407317,0.00378520664203,[-0.25018555]
3,0.038950920105,[ 0.62970853],0.550554156303,0.000176843276831,0.00202038599354,[-0.24993019]
4,0.0514690876007,[ 0.62952438],0.550659239292,0.0050257447667,0.000661733425817,[-0.24978808]
5,0.0641000270844,[ 0.62918062],0.550855457783,-0.00291181166469,0.00423198912356,[-0.2495228]
6,0.078192949295,[ 0.62889822],0.551016688347,-0.000565458538638,-0.00267717635209,[-0.2493049]
7,0.0899510383606,[ 0.62846877],0.55126196146,0.0126646973215,0.000757557047379,[-0.24897355]
8,0.102027893066,[ 0.62774215],0.551677167416,-0.00604835634685,0.0107933919547,[-0.24841301]
9,0.113751888275,[ 0.62686626],0.552178025246,-0.00407698331639,-0.0058512190438,[-0.24773747]
10,0.125948905945,[ 0.62379208],0.553939044476,-0.036936274775,-0.00736291246225,[-0.2453677]
11,0.138345003128,[ 0.62036591],0.555907487869,-0.00907116216163,-0.0341497635136,[-0.2427289]
12,0.151846885681,[ 0.61688346],0.557914614677,0.00453650941261,-0.0077103950042,[-0.24004931]
13,0.166724920273,[ 0.61385653],0.559664487839,-0.0360555857563,0.000477299895722,[-0.23772233]
14,0.183116912842,[ 0.60877577],0.562612950802,-0.0119237911931,-0.0336424062999,[-0.23382095]
15,0.194905996323,[ 0.60498059],0.56482475996,-0.0571223702634,-0.0164436491001,[-0.23091049]
16,0.206804037094,[ 0.59799594],0.568916916847,-0.0359360341568,-0.0550037366527,[-0.2255627]
17,0.219383955002,[ 0.59408306],0.571221888065,-0.0313721813955,-0.0354796488807,[-0.22257182]
18,0.231173992157,[ 0.58564259],0.57622551918,-0.0507218203332,-0.0333071452892,[-0.21613279]
19,0.243228912354,[ 0.58119053],0.57888263464,-0.0280790238463,-0.0484575406845,[-0.21274359]
20,0.254984855652,[ 0.57645141],0.58172506094,-0.0334847265609,-0.0286195941177,[-0.20914143]
21,0.26699590683,[ 0.56690301],0.58749717474,-0.0337941249509,-0.0335156663999,[-0.20190188]
22,0.279432058334,[ 0.56080183],0.591218173504,-0.0447205759561,-0.0348867700514,[-0.1972891]
23,0.292954921722,[ 0.54994166],0.597907781601,-0.0473772541304,-0.0449862437736,[-0.18910477]
24,0.308384895325,[ 0.53300944],0.608517289162,-0.0483893595951,-0.0474784646769,[-0.17641635]
25,0.3280210495,[ 0.52023178],0.616679608822,-0.0627903910728,-0.0498294627428,[-0.16690362]
26,0.347404956818,[ 0.50817055],0.624517321587,-0.030152046738,-0.0595265566393,[-0.15797747]
27,0.364835977554,[ 0.4950708],0.633187294006,-0.0741678205917,-0.0345536241234,[-0.14834572]
28,0.380198955536,[ 0.48860737],0.637529313564,-0.0286515004927,-0.0696161885818,[-0.1436191]
29,0.391812086105,[ 0.47620084],0.645990669727,-0.0423638858778,-0.0300227390312,[-0.13459711]
30,0.40363407135,[ 0.46965624],0.650524973869,-0.0206928303948,-0.0401967803295,[-0.12986623]
31,0.415724992752,[ 0.45707829],0.659386217594,-0.0661955853304,-0.0252431058884,[-0.12083278]
32,0.428519010544,[ 0.45069896],0.6639585495,-0.0322710043392,-0.0628031272313,[-0.11628238]
33,0.440181016922,[ 0.43836839],0.672956049442,-0.0587123963238,-0.0349151435377,[-0.10755081]
34,0.452131986618,[ 0.43205233],0.677651166916,-0.0587875758359,-0.058719914275,[-0.1031128]
35,0.463783979416,[ 0.42604245],0.682176232338,-0.0255482600101,-0.0554636442533,[-0.09891294]
36,0.475928068161,[ 0.4147224],0.69086098671,-0.0252962062854,-0.0255230546376,[-0.09106679]
37,0.488312005997,[ 0.40326627],0.699881017208,-0.0379182344573,-0.0265584091026,[-0.08321868]
38,0.501760959625,[ 0.39737692],0.704615354538,-0.0445572436538,-0.0385821353769,[-0.07922306]
39,0.515727043152,[ 0.38697439],0.713151693344,-0.0152259605231,-0.0416241153407,[-0.07223507]
40,0.527580976486,[ 0.38173798],0.717537939548,-0.00840494436532,-0.0145438589074,[-0.06875316]
41,0.539381980896,[ 0.3767503],0.721774756908,-0.017152620931,-0.00927971202188,[-0.0654602]
42,0.551151990891,[ 0.36669256],0.73050403595,-0.0424473179371,-0.0196820906316,[-0.05889417]
43,0.563284873962,[ 0.36183748],0.734812200069,0.00141713921762,-0.0380608722216,[-0.05576236]
