,T,Vcx,X,X_des,Xdot,Xdot_dl
0,2.14576721191e-06,1.25425078903,0.00596837745979,2.6964506037e-06,0.596837745979,0.0596837745979
1,0.010115146637,1.25944796014,0.00542968697846,0.0127107258581,-0.0538690481335,0.531767066568
2,0.0202260017395,1.26397024703,0.00606634607539,0.0254140068969,0.0636659096926,-0.0421155523509
3,0.0303361415863,1.26851908064,0.00612475536764,0.0381122871377,0.00584092922509,0.0578834116459
4,0.0404381752014,1.27282891348,0.00625925371423,0.0507942422666,0.0134498346597,0.00660181976855
5,0.0505120754242,1.27710078847,0.00594661058858,0.0634327296547,-0.0312643125653,0.00897841993719
6,0.0606219768524,1.28096964675,0.00616320036352,0.076106161003,0.0216589774936,-0.0259719835594
7,0.0707361698151,1.28455621114,0.00657152151689,0.0887726803091,0.0408321153373,0.023576291278
8,0.0808420181274,1.28749390488,0.00807510316372,0.101414427272,0.150358164683,0.0517847202718
9,0.0909550189972,1.29074373929,0.00828364770859,0.114048748437,0.0208544544876,0.137407793663
10,0.101056098938,1.2936714192,0.00876620225608,0.12664979103,0.0482554547489,0.0235945545137
11,0.111171007156,1.29597282278,0.0103015508503,0.139247635657,0.153534859419,0.0587833952159
12,0.121283054352,1.29867740163,0.0103020099923,0.151819429642,4.59142029285e-05,0.138185964897
13,0.131407976151,1.30077384621,0.0113045014441,0.164382667972,0.10024914518,0.0100662373006
14,0.141577005386,1.30224260464,0.0133716911077,0.176973848215,0.206718966365,0.110896127298
15,0.151687145233,1.30350816012,0.0153844747692,0.189463467802,0.201278366148,0.206174906343
16,0.161801099777,1.30518714696,0.0158368553966,0.201927201191,0.0452380627394,0.185674335808
17,0.171904087067,1.30582790679,0.0183509942144,0.214344855557,0.251413881779,0.0658556446433
18,0.181977987289,1.30706462055,0.018836537376,0.226692361474,0.0485543161631,0.231127925217
19,0.19216299057,1.30684776864,0.0224600266665,0.239139106635,0.362348929048,0.0799337774515
20,0.202258110046,1.30657207136,0.0256716888398,0.25143735781,0.321166217327,0.358230657876
21,0.212404966354,1.30646972873,0.027929013595,0.263757857935,0.225732475519,0.311622843146
22,0.222493171692,1.30648832684,0.0293414853513,0.275964635162,0.141247175634,0.217283945531
23,0.23259305954,1.30541549672,0.0329536683857,0.288141120299,0.361218303442,0.163244288415
24,0.242653131485,1.30365074284,0.0377641245723,0.300223465457,0.481045618653,0.373201034963
25,0.252789974213,1.30182141202,0.0422061271966,0.312349478215,0.444200262427,0.477361083031
26,0.262929201126,1.30065924298,0.0444450639188,0.324427642238,0.223893672228,0.422169603407
27,0.273029088974,1.29874718951,0.0480293221772,0.336406585628,0.358425825834,0.237346887589
28,0.283138036728,1.29442154511,0.0571150220931,0.348342011938,0.908569991589,0.41344024241
29,0.293263196945,1.2922864638,0.0601888410747,0.360240231303,0.307381898165,0.848451182246
30,0.303382158279,1.2894333137,0.0645269453526,0.372072901233,0.433810427785,0.320024751127
31,0.313491106033,1.28580455124,0.0702759772539,0.383833790796,0.574903190136,0.44791970402
32,0.323596000671,1.28277470169,0.0739993080497,0.395528062721,0.372333079576,0.55464617908
33,0.333667993546,1.27693634985,0.08422999084,0.407120795374,1.02306827903,0.437406599522
34,0.343792200089,1.27213144497,0.0913254544139,0.418707895959,0.709546357393,0.991716086864
35,0.353928089142,1.26781968237,0.0966519266367,0.430240477559,0.532647222281,0.691856443882
36,0.364056110382,1.26306561186,0.102559134364,0.441694389978,0.590720772743,0.538454577327
37,0.374171972275,1.25802961844,0.108651183546,0.453063134828,0.609204918146,0.592569187284
38,0.38424706459,1.25062235067,0.120175004005,0.464313293746,1.15238204598,0.66352263093
39,0.394371032715,1.24495083505,0.126801297069,0.475543057794,0.662629306316,1.10340677202
40,0.404491186142,1.23896036347,0.13370385766,0.486691667082,0.69025605917,0.665391981602
41,0.414609193802,1.23214764807,0.142141342163,0.497759225513,0.843748450279,0.705605298281
42,0.424839019775,1.22553188549,0.149461850524,0.508867282632,0.732050836086,0.83257868886
43,0.434923171997,1.21614277064,0.163327291608,0.519734864056,1.38654410839,0.797500163317
44,0.445051193237,1.20842668456,0.172450557351,0.530565715449,0.912326574326,1.33912235498
45,0.455163002014,1.20089552682,0.180611729622,0.541293495129,0.816117227077,0.902705639601
46,0.465279102325,1.19366897431,0.187492623925,0.551938373294,0.688089430332,0.803314447403
47,0.475381135941,1.18214430994,0.204622879624,0.562479443236,1.71302556992,0.790583044291
48,0.485490083694,1.17378113769,0.213331654668,0.572936990526,0.870877504349,1.62881076336
49,0.49559211731,1.16511568142,0.222297042608,0.583295024984,0.896538794041,0.873443633318
50,0.505691051483,1.15554758591,0.233017936349,0.593555926627,1.07208937407,0.914093852043
51,0.515812158585,1.14703132621,0.240575820208,0.603743447434,0.755788385868,1.04045927525
52,0.525891065598,1.13377746008,0.259535342455,0.613791442184,1.89595222473,0.869804769754
53,0.536005973816,1.12401202982,0.26922416687,0.623776337232,0.968882441521,1.80324524641
54,0.546123981476,1.11400212494,0.279021948576,0.633663467175,0.979778170586,0.969972014427
55,0.556231021881,1.10377784853,0.288877636194,0.643437608842,0.985568761826,0.98035722971
56,0.566405057907,1.08914807494,0.309146344662,0.653171708633,2.02687084675,1.08969897032
57,0.576515197754,1.07838431448,0.31936147809,0.662738917417,1.02151334286,1.92633509636
58,0.586621046066,1.0673586655,0.329752027988,0.672195161306,1.03905498981,1.02326750755
59,0.596771001816,1.0560756619,0.340224325657,0.681583558065,1.04722976685,1.03987246752
60,0.606873035431,1.04457281594,0.350848525763,0.690817532685,1.06242001057,1.04874879122
